"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест на rest-assured - проверка employee-controller","420","Тест на rest-assured - проверка employee-controller","","Wed May 13 17:18:19 UTC 2026","passed","Wed May 13 17:18:19 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testGEmployeeController"
"Тест на rest-assured - проверка customer-controller","595","Тест на rest-assured - проверка customer-controller","","Wed May 13 17:18:18 UTC 2026","passed","Wed May 13 17:18:19 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testFCustomerController"
"Тест на rest-assured - проверка track-controller","574","Тест на rest-assured - проверка track-controller","","Wed May 13 17:18:20 UTC 2026","passed","Wed May 13 17:18:20 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testJTrackController"
"Тест на rest-assured - проверка artist-controller","1842","Тест на rest-assured - проверка artist-controller","","Wed May 13 17:18:15 UTC 2026","passed","Wed May 13 17:18:17 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testAArtistController"
"Тест на rest-assured - проверка media-type-controller","227","Тест на rest-assured - проверка media-type-controller","","Wed May 13 17:18:18 UTC 2026","passed","Wed May 13 17:18:18 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testDMediaTypeController"
"","3008","testUserCreateAndGetToken()","","Wed May 13 17:18:12 UTC 2026","passed","Wed May 13 17:18:15 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.AuthTest","digital.store.api.tests.DigitalStoreApiTests$AuthTest","testUserCreateAndGetToken"
"Тест на rest-assured - проверка invoice-line-controller","589","Тест на rest-assured - проверка invoice-line-controller","","Wed May 13 17:18:20 UTC 2026","passed","Wed May 13 17:18:21 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testLInvoiceLineController"
"Тест на rest-assured - проверка genre-controller","346","Тест на rest-assured - проверка genre-controller","","Wed May 13 17:18:17 UTC 2026","passed","Wed May 13 17:18:18 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testCGenreController"
"Тест на rest-assured - проверка invoice-controller","578","Тест на rest-assured - проверка invoice-controller","","Wed May 13 17:18:19 UTC 2026","passed","Wed May 13 17:18:20 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testHInvoiceController"
"Тест на rest-assured - проверка album-controller","481","Тест на rest-assured - проверка album-controller","","Wed May 13 17:18:17 UTC 2026","passed","Wed May 13 17:18:17 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testBBAlbumController"
