"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест на retrofit - проверка track-controller","299","Тест на retrofit - проверка track-controller","","Wed May 13 19:31:58 UTC 2026","passed","Wed May 13 19:31:58 UTC 2026","","digital.store.api.retrofit.tests.DigitalStoreTests.ControllerTests","digital.store.api.retrofit.tests.DigitalStoreTests$ControllerTests","testJTrackController"
"Тест на retrofit - проверка genre-controller","205","Тест на retrofit - проверка genre-controller","","Wed May 13 19:31:56 UTC 2026","passed","Wed May 13 19:31:56 UTC 2026","","digital.store.api.retrofit.tests.DigitalStoreTests.ControllerTests","digital.store.api.retrofit.tests.DigitalStoreTests$ControllerTests","testCGenreController"
"Тест на rest-assured - проверка album-controller","510","Тест на rest-assured - проверка album-controller","","Wed May 13 19:31:40 UTC 2026","passed","Wed May 13 19:31:41 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testBBAlbumController"
"Тест на rest-assured - проверка track-controller","670","Тест на rest-assured - проверка track-controller","","Wed May 13 19:31:43 UTC 2026","passed","Wed May 13 19:31:44 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testJTrackController"
"Тест на retrofit - проверка invoice-line-controller","440","Тест на retrofit - проверка invoice-line-controller","","Wed May 13 19:31:58 UTC 2026","passed","Wed May 13 19:31:58 UTC 2026","","digital.store.api.retrofit.tests.DigitalStoreTests.ControllerTests","digital.store.api.retrofit.tests.DigitalStoreTests$ControllerTests","testLInvoiceLineController"
"Тест на rest-assured - проверка genre-controller","268","Тест на rest-assured - проверка genre-controller","","Wed May 13 19:31:41 UTC 2026","passed","Wed May 13 19:31:41 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testCGenreController"
"","3057","testUserCreateAndGetToken()","","Wed May 13 19:31:35 UTC 2026","passed","Wed May 13 19:31:38 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.AuthTest","digital.store.api.tests.DigitalStoreApiTests$AuthTest","testUserCreateAndGetToken"
"Тест на retrofit - проверка employee-controller","317","Тест на retrofit - проверка employee-controller","","Wed May 13 19:31:57 UTC 2026","passed","Wed May 13 19:31:57 UTC 2026","","digital.store.api.retrofit.tests.DigitalStoreTests.ControllerTests","digital.store.api.retrofit.tests.DigitalStoreTests$ControllerTests","testGEmployeeController"
"Тест на retrofit - проверка artist-controller","1584","Тест на retrofit - проверка artist-controller","","Wed May 13 19:31:54 UTC 2026","passed","Wed May 13 19:31:56 UTC 2026","","digital.store.api.retrofit.tests.DigitalStoreTests.ControllerTests","digital.store.api.retrofit.tests.DigitalStoreTests$ControllerTests","testAArtistController"
"Тест на retrofit - проверка media-type-controller","227","Тест на retrofit - проверка media-type-controller","","Wed May 13 19:31:56 UTC 2026","passed","Wed May 13 19:31:56 UTC 2026","","digital.store.api.retrofit.tests.DigitalStoreTests.ControllerTests","digital.store.api.retrofit.tests.DigitalStoreTests$ControllerTests","testDMediaTypeController"
"Тест на retrofit - проверка album-controller","311","Тест на retrofit - проверка album-controller","","Wed May 13 19:31:56 UTC 2026","passed","Wed May 13 19:31:56 UTC 2026","","digital.store.api.retrofit.tests.DigitalStoreTests.ControllerTests","digital.store.api.retrofit.tests.DigitalStoreTests$ControllerTests","testBBAlbumController"
"","518","testUserCreateAndGetToken()","","Wed May 13 19:31:53 UTC 2026","passed","Wed May 13 19:31:54 UTC 2026","","digital.store.api.retrofit.tests.DigitalStoreTests.AuthTest","digital.store.api.retrofit.tests.DigitalStoreTests$AuthTest","testUserCreateAndGetToken"
"Тест на retrofit - проверка invoice-controller","377","Тест на retrofit - проверка invoice-controller","","Wed May 13 19:31:57 UTC 2026","passed","Wed May 13 19:31:58 UTC 2026","","digital.store.api.retrofit.tests.DigitalStoreTests.ControllerTests","digital.store.api.retrofit.tests.DigitalStoreTests$ControllerTests","testHInvoiceController"
"Тест на rest-assured - проверка invoice-line-controller","572","Тест на rest-assured - проверка invoice-line-controller","","Wed May 13 19:31:44 UTC 2026","passed","Wed May 13 19:31:44 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testLInvoiceLineController"
"Тест на rest-assured - проверка artist-controller","2133","Тест на rest-assured - проверка artist-controller","","Wed May 13 19:31:38 UTC 2026","passed","Wed May 13 19:31:40 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testAArtistController"
