"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Меняем название и тип альбома и проверяем обновление","41","testDB — Album: UPDATE title/albumType → SELECT → изменения применились","","Sun May 17 09:51:46 UTC 2026","passed","Sun May 17 09:51:47 UTC 2026","","JDBC-тесты DigitalStore","digital.store.jdbc.tests.DigitalStoreJdbcTests","testDB_album_update"
"Тест на rest-assured - проверка customer-controller","683","Тест на rest-assured - проверка customer-controller","","Sun May 17 09:51:20 UTC 2026","passed","Sun May 17 09:51:21 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testFCustomerController"
"Тест на rest-assured - проверка artist-controller","2056","Тест на rest-assured - проверка artist-controller","","Sun May 17 09:51:17 UTC 2026","passed","Sun May 17 09:51:19 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testAArtistController"
"Тест на retrofit - проверка invoice-line-controller","440","Тест на retrofit - проверка invoice-line-controller","","Sun May 17 09:51:36 UTC 2026","passed","Sun May 17 09:51:37 UTC 2026","","digital.store.api.retrofit.tests.DigitalStoreTests.ControllerTests","digital.store.api.retrofit.tests.DigitalStoreTests$ControllerTests","testLInvoiceLineController"
"","492","testUserCreateAndGetToken()","","Sun May 17 09:51:32 UTC 2026","passed","Sun May 17 09:51:32 UTC 2026","","digital.store.api.retrofit.tests.DigitalStoreTests.AuthTest","digital.store.api.retrofit.tests.DigitalStoreTests$AuthTest","testUserCreateAndGetToken"
"Тест на retrofit - проверка artist-controller","1715","Тест на retrofit - проверка artist-controller","","Sun May 17 09:51:32 UTC 2026","passed","Sun May 17 09:51:34 UTC 2026","","digital.store.api.retrofit.tests.DigitalStoreTests.ControllerTests","digital.store.api.retrofit.tests.DigitalStoreTests$ControllerTests","testAArtistController"
"Тест на retrofit - проверка invoice-controller","374","Тест на retrofit - проверка invoice-controller","","Sun May 17 09:51:36 UTC 2026","passed","Sun May 17 09:51:36 UTC 2026","","digital.store.api.retrofit.tests.DigitalStoreTests.ControllerTests","digital.store.api.retrofit.tests.DigitalStoreTests$ControllerTests","testHInvoiceController"
"Полная бизнес-цепочка: 7 зависимых таблиц. Проверяем корректность позиции заказа","22","testIA — InvoiceLine: artist→album→track + customer→employee→invoice → INSERT → SELECT → данные совпадают","","Sun May 17 09:51:47 UTC 2026","passed","Sun May 17 09:51:47 UTC 2026","","JDBC-тесты DigitalStore","digital.store.jdbc.tests.DigitalStoreJdbcTests","testIA_invoiceLine_insertAndSelect"
"Меняем название, автора и цену трека и проверяем обновление","27","testGB — Track: UPDATE name/author/unitPrice → SELECT → изменения применились","","Sun May 17 09:51:47 UTC 2026","passed","Sun May 17 09:51:47 UTC 2026","","JDBC-тесты DigitalStore","digital.store.jdbc.tests.DigitalStoreJdbcTests","testGB_track_update"
"Создаём сотрудника и проверяем корректность всех полей","183","testFA — Employee: INSERT → SELECT → данные совпадают","","Sun May 17 09:51:47 UTC 2026","passed","Sun May 17 09:51:47 UTC 2026","","JDBC-тесты DigitalStore","digital.store.jdbc.tests.DigitalStoreJdbcTests","testFA_employee_insertAndSelect"
"Создаём медиа-тип и проверяем сохранение всех полей","45","testBA — MediaType: INSERT → SELECT → данные совпадают","","Sun May 17 09:51:46 UTC 2026","passed","Sun May 17 09:51:46 UTC 2026","","JDBC-тесты DigitalStore","digital.store.jdbc.tests.DigitalStoreJdbcTests","testBA_mediaType_insertAndSelect"
"Тест на rest-assured - проверка album-controller","465","Тест на rest-assured - проверка album-controller","","Sun May 17 09:51:19 UTC 2026","passed","Sun May 17 09:51:20 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testBBAlbumController"
"Меняем название и направление жанра и проверяем обновление","34","testAB — Genre: UPDATE name/direction → SELECT → изменения применились","","Sun May 17 09:51:46 UTC 2026","passed","Sun May 17 09:51:46 UTC 2026","","JDBC-тесты DigitalStore","digital.store.jdbc.tests.DigitalStoreJdbcTests","testAB_genre_update"
"Бизнес-цепочка: artist (создан ранее) → создаём альбом, связанный с ним","132","testDA — Album: шаг 1 берём artist → INSERT album → SELECT → данные совпадают","","Sun May 17 09:51:46 UTC 2026","passed","Sun May 17 09:51:46 UTC 2026","","JDBC-тесты DigitalStore","digital.store.jdbc.tests.DigitalStoreJdbcTests","testDA_album_insertAndSelect"
"Тест на retrofit - проверка track-controller","282","Тест на retrofit - проверка track-controller","","Sun May 17 09:51:36 UTC 2026","passed","Sun May 17 09:51:36 UTC 2026","","digital.store.api.retrofit.tests.DigitalStoreTests.ControllerTests","digital.store.api.retrofit.tests.DigitalStoreTests$ControllerTests","testJTrackController"
"Меняем контактные данные клиента и проверяем обновление","88","testEB — Customer: UPDATE phone/email/city → SELECT → изменения применились","","Sun May 17 09:51:47 UTC 2026","passed","Sun May 17 09:51:47 UTC 2026","","JDBC-тесты DigitalStore","digital.store.jdbc.tests.DigitalStoreJdbcTests","testEB_customer_update"
"Создаём артиста и проверяем корректность всех полей","90","testCA — Artist: INSERT → SELECT → данные совпадают","","Sun May 17 09:51:46 UTC 2026","passed","Sun May 17 09:51:46 UTC 2026","","JDBC-тесты DigitalStore","digital.store.jdbc.tests.DigitalStoreJdbcTests","testCA_artist_insertAndSelect"
"Бизнес-цепочка: переиспользуем customer и employee → создаём заказ","78","testHA — Invoice: customer + employee → INSERT invoice → SELECT → данные совпадают","","Sun May 17 09:51:47 UTC 2026","passed","Sun May 17 09:51:47 UTC 2026","","JDBC-тесты DigitalStore","digital.store.jdbc.tests.DigitalStoreJdbcTests","testHA_invoice_insertAndSelect"
"Меняем адрес и сумму заказа и проверяем обновление","53","testHB — Invoice: UPDATE billingAddress/total → SELECT → изменения применились","","Sun May 17 09:51:47 UTC 2026","passed","Sun May 17 09:51:47 UTC 2026","","JDBC-тесты DigitalStore","digital.store.jdbc.tests.DigitalStoreJdbcTests","testHB_invoice_update"
"Тест на retrofit - проверка album-controller","296","Тест на retrofit - проверка album-controller","","Sun May 17 09:51:34 UTC 2026","passed","Sun May 17 09:51:34 UTC 2026","","digital.store.api.retrofit.tests.DigitalStoreTests.ControllerTests","digital.store.api.retrofit.tests.DigitalStoreTests$ControllerTests","testBBAlbumController"
"Тест на retrofit - проверка customer-controller","570","Тест на retrofit - проверка customer-controller","","Sun May 17 09:51:35 UTC 2026","passed","Sun May 17 09:51:35 UTC 2026","","digital.store.api.retrofit.tests.DigitalStoreTests.ControllerTests","digital.store.api.retrofit.tests.DigitalStoreTests$ControllerTests","testFCustomerController"
"Тест на rest-assured - проверка media-type-controller","200","Тест на rest-assured - проверка media-type-controller","","Sun May 17 09:51:20 UTC 2026","passed","Sun May 17 09:51:20 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testDMediaTypeController"
"Тест на rest-assured - проверка genre-controller","233","Тест на rest-assured - проверка genre-controller","","Sun May 17 09:51:20 UTC 2026","passed","Sun May 17 09:51:20 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testCGenreController"
"Тест на rest-assured - проверка invoice-line-controller","591","Тест на rest-assured - проверка invoice-line-controller","","Sun May 17 09:51:22 UTC 2026","passed","Sun May 17 09:51:23 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testLInvoiceLineController"
"Тест на retrofit - проверка employee-controller","328","Тест на retrofit - проверка employee-controller","","Sun May 17 09:51:35 UTC 2026","passed","Sun May 17 09:51:36 UTC 2026","","digital.store.api.retrofit.tests.DigitalStoreTests.ControllerTests","digital.store.api.retrofit.tests.DigitalStoreTests$ControllerTests","testGEmployeeController"
"Тест на rest-assured - проверка employee-controller","417","Тест на rest-assured - проверка employee-controller","","Sun May 17 09:51:21 UTC 2026","passed","Sun May 17 09:51:21 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testGEmployeeController"
"Тест на retrofit - проверка media-type-controller","191","Тест на retrofit - проверка media-type-controller","","Sun May 17 09:51:35 UTC 2026","passed","Sun May 17 09:51:35 UTC 2026","","digital.store.api.retrofit.tests.DigitalStoreTests.ControllerTests","digital.store.api.retrofit.tests.DigitalStoreTests$ControllerTests","testDMediaTypeController"
"Тест на rest-assured - проверка invoice-controller","449","Тест на rest-assured - проверка invoice-controller","","Sun May 17 09:51:21 UTC 2026","passed","Sun May 17 09:51:22 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testHInvoiceController"
"Меняем название медиа-типа и проверяем обновление","39","testBB — MediaType: UPDATE name → SELECT → изменения применились","","Sun May 17 09:51:46 UTC 2026","passed","Sun May 17 09:51:46 UTC 2026","","JDBC-тесты DigitalStore","digital.store.jdbc.tests.DigitalStoreJdbcTests","testBB_mediaType_update"
"Бизнес-цепочка из 4 зависимостей: album(artist), genre, mediaType → создаём трек","155","testGA — Track: artist→album + genre + mediaType → INSERT track → SELECT → данные совпадают","","Sun May 17 09:51:47 UTC 2026","passed","Sun May 17 09:51:47 UTC 2026","","JDBC-тесты DigitalStore","digital.store.jdbc.tests.DigitalStoreJdbcTests","testGA_track_insertAndSelect"
