"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка album-controller","148","Проверка album-controller","","Mon May 11 07:45:40 UTC 2026","failed","Mon May 11 07:45:41 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testBBAlbumController"
"Проверка genre-controller","64","Проверка genre-controller","","Mon May 11 07:45:41 UTC 2026","failed","Mon May 11 07:45:41 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testCGenreController"
"Проверка invoice-line-controller","52","Проверка invoice-line-controller","","Mon May 11 07:45:42 UTC 2026","failed","Mon May 11 07:45:42 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testLInvoiceLineController"
"","2957","testUserCreateAndGetToken()","","Mon May 11 07:45:37 UTC 2026","passed","Mon May 11 07:45:39 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.AuthTest","digital.store.api.tests.DigitalStoreApiTests$AuthTest","testUserCreateAndGetToken"
"Проверка invoice-controller","266","Проверка invoice-controller","","Mon May 11 07:45:41 UTC 2026","failed","Mon May 11 07:45:41 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testHInvoiceController"
"Проверка artist-controller","665","Проверка artist-controller","","Mon May 11 07:45:40 UTC 2026","failed","Mon May 11 07:45:40 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testAArtistController"
"Проверка media-type-controller","69","Проверка media-type-controller","","Mon May 11 07:45:41 UTC 2026","failed","Mon May 11 07:45:41 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testDMediaTypeController"
"Проверка employee-controller","222","Проверка employee-controller","","Mon May 11 07:45:41 UTC 2026","failed","Mon May 11 07:45:41 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testGEmployeeController"
"Проверка track-controller","48","Проверка track-controller","","Mon May 11 07:45:41 UTC 2026","failed","Mon May 11 07:45:41 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testJTrackController"
"Проверка customer-controller","214","Проверка customer-controller","","Mon May 11 07:45:41 UTC 2026","failed","Mon May 11 07:45:41 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testFCustomerController"
