"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2912","testUserCreateAndGetToken()","","Wed May 13 16:41:07 UTC 2026","passed","Wed May 13 16:41:10 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.AuthTest","digital.store.api.tests.DigitalStoreApiTests$AuthTest","testUserCreateAndGetToken"
"Проверка invoice-line-controller","680","Проверка invoice-line-controller","","Wed May 13 16:41:16 UTC 2026","passed","Wed May 13 16:41:16 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testLInvoiceLineController"
"Проверка media-type-controller","234","Проверка media-type-controller","","Wed May 13 16:41:13 UTC 2026","passed","Wed May 13 16:41:13 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testDMediaTypeController"
"Проверка artist-controller","2162","Проверка artist-controller","","Wed May 13 16:41:10 UTC 2026","passed","Wed May 13 16:41:12 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testAArtistController"
"Проверка invoice-controller","528","Проверка invoice-controller","","Wed May 13 16:41:15 UTC 2026","passed","Wed May 13 16:41:15 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testHInvoiceController"
"Проверка employee-controller","400","Проверка employee-controller","","Wed May 13 16:41:14 UTC 2026","passed","Wed May 13 16:41:15 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testGEmployeeController"
"Проверка track-controller","481","Проверка track-controller","","Wed May 13 16:41:15 UTC 2026","passed","Wed May 13 16:41:16 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testJTrackController"
"Проверка album-controller","615","Проверка album-controller","","Wed May 13 16:41:12 UTC 2026","passed","Wed May 13 16:41:13 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testBBAlbumController"
"Проверка customer-controller","869","Проверка customer-controller","","Wed May 13 16:41:13 UTC 2026","passed","Wed May 13 16:41:14 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testFCustomerController"
"Проверка genre-controller","206","Проверка genre-controller","","Wed May 13 16:41:13 UTC 2026","passed","Wed May 13 16:41:13 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testCGenreController"
