"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест на rest-assured - проверка album-controller","521","Тест на rest-assured - проверка album-controller","","Wed May 13 17:07:17 UTC 2026","passed","Wed May 13 17:07:18 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testBBAlbumController"
"Тест на rest-assured - проверка invoice-line-controller","707","Тест на rest-assured - проверка invoice-line-controller","","Wed May 13 17:07:21 UTC 2026","passed","Wed May 13 17:07:21 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testLInvoiceLineController"
"Тест на rest-assured - проверка media-type-controller","231","Тест на rest-assured - проверка media-type-controller","","Wed May 13 17:07:18 UTC 2026","passed","Wed May 13 17:07:18 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testDMediaTypeController"
"Тест на rest-assured - проверка track-controller","542","Тест на rest-assured - проверка track-controller","","Wed May 13 17:07:20 UTC 2026","passed","Wed May 13 17:07:21 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testJTrackController"
"Тест на rest-assured - проверка genre-controller","231","Тест на rest-assured - проверка genre-controller","","Wed May 13 17:07:18 UTC 2026","passed","Wed May 13 17:07:18 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testCGenreController"
"Тест на rest-assured - проверка customer-controller","661","Тест на rest-assured - проверка customer-controller","","Wed May 13 17:07:18 UTC 2026","passed","Wed May 13 17:07:19 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testFCustomerController"
"Тест на rest-assured - проверка employee-controller","450","Тест на rest-assured - проверка employee-controller","","Wed May 13 17:07:19 UTC 2026","passed","Wed May 13 17:07:20 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testGEmployeeController"
"","3028","testUserCreateAndGetToken()","","Wed May 13 17:07:12 UTC 2026","passed","Wed May 13 17:07:15 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.AuthTest","digital.store.api.tests.DigitalStoreApiTests$AuthTest","testUserCreateAndGetToken"
"Тест на rest-assured - проверка artist-controller","2155","Тест на rest-assured - проверка artist-controller","","Wed May 13 17:07:15 UTC 2026","passed","Wed May 13 17:07:17 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testAArtistController"
"Тест на rest-assured - проверка invoice-controller","587","Тест на rest-assured - проверка invoice-controller","","Wed May 13 17:07:20 UTC 2026","passed","Wed May 13 17:07:20 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testHInvoiceController"
